Nb.,Deck,Name,Pts,Description,Norwegians Note,Type,Shuffle,How Likely?,How Strong?,Final Score,,Rubric
62,(b),Fine Blacksmith,3,"When you play this card, you can immediately (and only once via this card) pay 1 ore and 1 silver to receive either the ""Crucifix"" or ""Cloakpin"" special tile. (This card has no effect if both tiles are already taken, but is still worth 3 points.)",,IMMEDIATE CARD,0.8788530936,4,4,8,,
120,(b),Middleman,2,"Immediately after each time you use a ""Weekly Market"" action space, you can pay 1 silver to take a ""↑1 Good"" action. (The large action space in the fourth column also belongs to the ""Weekly Market"" category.)",,EACH TIME CARD,0.5995900272,4,4,8,,
91,(c),Latecomer,0,"At the end of the Actions phase (phase 5) of each round, you can pay 1 silver to use an unoccupied action space in the first column without placing any more Vikings. The action space you choose must be above or below another action space in the first column with one of your Vikings on it. (It does not matter nor does it count whether the action space you choose is adjacent to one in the second column with two of your Vikings on it. In the solo game, only Vikings in the active color count.)",,EACH TIME CARD,0.6146446741,4,4,8,,
12,A,Helmsman,0,"When you play this card, you immediately (and only once via this card) receive 1 chest. Immediately after each time you take an action in which you use a longship, you can draw 1 weapon card from the face-down draw pile and place the weapon card face up in front of you. (It does not matter whether you use the longship for raiding, pillaging, plundering, exploring, or emigrating. The amount of ore on the longship does not matter either. Even if you use more than one longship during that action, e.g., because another card allows you to do that, you still only receive 1 weapon card.)",,IMMEDIATE CARD,0.04267152314,4,4,8,,
17,A,Orient Shipper,0,"When you play this card, you can immediately (and only once via this card) take a ""↑↑↑1 Good"" action, i.e., you can exchange an orange (or red or green) goods tile for a blue one of the same dimensions. (For instance, you could exchange 1 fruits for 1 treasure chest in three steps, or 1 cattle for 1 silver hoard in just 2 steps.)",,IMMEDIATE CARD,0.2168919608,4,4,8,,
74,A,Cowherd,1,"When you play this card, you can immediately (and only once via this card) payexactly 2 silver and 1 grain from your supply to receive 1 non-pregnant cattle in your cattle stable.",,IMMEDIATE CARD,0.597783774,4,4,8,,
77,A,Follower,0,"After you play this card, you can immediately (and only once via this card) use an occupied action space in the second column, regardless of who occupies the space. It must be occupied, though. (You cannot instead use an occupied action space in the first, third, or fourth column, or an unoccupied one.) If you choose ""Laying a Snare"" or ""Pillaging"" and fail, you do not receive a Viking back.",,IMMEDIATE CARD,0.564439954,4,4,8,,
87,A,Preacher,0,"When you play this card, you can immediately move the ""Crucifix"" special tile from the oval supply board to your supply. Alternatively, you can take a ""Take 4 Building Resources from a Mountain Strip"" action. (If you do the latter, you must take 4 items from a single mountain strip. As usual, the ""2 silver"" are considered a single item.)",,IMMEDIATE CARD,0.8242033087,4,4,8,,
70,B,Courier,0,"When you play this card, if the ""Cloakpin"" special tile is on any player's board (including yours), you can immediately (and only once via this card) move it to your supply. Fill the spot you took the Cloakpin from with 1 silverware and 1 rune stone from the general supply.",,IMMEDIATE CARD,0.1132011199,4,4,8,,
84,B,Harbor Guard,0,"When you play this card, you can emigrate immediately (and only once via this card). This emigration costs the same as it would on the action space, but you receive a discount of 1 silver for each large ship you had before the emigration. (The minimum cost is 0. Large ships are knarrs and longships. The amount of ore on the longships does not matter.)",,IMMEDIATE CARD,0.5686803237,4,4,8,,
14,C,Ship Owner,2,"When you play this card, if you have at least 1 whaling boat, 1 knarr, and 1 longship, you immediately (and only once via this card) receive 1 whale meat. If you have at least 2 whaling boats, 2 knarrs, and 2 longships, you receive 1 additional whale meat. (The amount of ore on the whaling boats and longships does not matter.)",,IMMEDIATE CARD,0.8482512624,4,4,8,,
19,C,Host,0,"When you play this card, you immediately (and only once via this card) receive a blue goods tile. Which one you receive depends on how many special tiles you have in your supply and on your boards. If you have exactly 3 special tiles, you receive 1 silk. If you have exactly 4 special tiles, you receive 1 spices. If you have at least 5 special tiles, you receive 1 jewelry. (You cannot take silk instead of spices, and you cannot take silk or spices instead of jewelry. Also, you cannot discard a special tile to receive another reward.)",,IMMEDIATE CARD,0.5031073891,4,4,8,,
67,C,Private Chef,1,"When you play this card, you can immediately (and only once via this card) buy 2 silverware, 1 game meat, and 1 mead for a total of 4 silver.",,IMMEDIATE CARD,0.3272009168,4,4,8,,
71,C,Innkeeper,-1,"When you play this card, if the ""Drinking Horn"" special tile is on any player's board (including yours), you can immediately (and only once via this card) move it to your supply. Fill the spot you took the Drinking Horn from with 1 chest and 1 rune stone from the general supply.",,IMMEDIATE CARD,0.1670946996,4,4,8,,
75,C,Bone Collector,0,"When you play this card, you can immediately (and only once via this card) buy 1 ""skin and bones"" goods tile for 1 silver.",,IMMEDIATE CARD,0.4896771779,4,4,8,,
